Shop Plan,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
Advanced,BrandProtection,103,2,2,0.4,0.0,0.0
Advanced,Competitors,227,4,4,12.5,1.0,15.0
Advanced,Features,198,13,10,60.5,0.0,0.0
Advanced,ProductReview,378,65,47,158.1,1.0,15.0
Advanced,Review-variations,157,6,4,21.82,0.0,0.0
Advanced,Trust,32,3,1,13.0,0.0,0.0
Basic,BrandProtection,2337,112,82,22.8,1.0,15.22
Basic,Competitors,4030,176,116,507.0,3.0,45.45
Basic,Features,4610,313,228,1487.8,5.0,90.67
Basic,ProductReview,8380,1629,1309,4001.8,24.0,377.92
Basic,Review-variations,4433,223,141,741.56,1.0,15.0
Basic,Trust,800,40,29,188.0,0.0,0.0
Grow,BrandProtection,309,15,8,3.0,0.0,0.0
Grow,Competitors,782,22,13,64.0,1.0,15.0
Grow,Features,585,31,19,154.0,1.0,15.0
Grow,ProductReview,1307,218,155,555.9,5.0,75.45
Grow,Review-variations,666,22,13,65.96,0.0,0.0
Grow,Trust,130,3,3,13.0,0.0,0.0
Plus,BrandProtection,52,1,0,0.2,0.0,0.0
Plus,Competitors,246,2,0,7.5,0.0,0.0
Plus,Features,104,3,1,12.0,0.0,0.0
Plus,ProductReview,205,21,9,63.8,1.0,15.0
Plus,Review-variations,79,1,0,5.0,0.0,0.0
Plus,Trust,28,0,0,0.0,0.0,0.0
Retail,BrandProtection,2,0,0,0.0,0.0,0.0
Retail,Features,0,0,0,0.0,0.0,0.0
Retail,Review-variations,0,0,0,0.0,0.0,0.0
Trial,BrandProtection,268,6,4,1.2000000000000002,0.0,0.0
Trial,Competitors,491,14,9,40.5,0.0,0.0
Trial,Features,558,41,30,193.6,0.0,0.0
Trial,ProductReview,476,120,94,299.7,0.0,0.0
Trial,Review-variations,480,19,10,57.64,0.0,0.0
Trial,Trust,76,3,3,15.0,0.0,0.0
not_applicable,BrandProtection,115,4,0,0.8,0.0,0.0
not_applicable,Competitors,271,11,1,35.0,0.0,0.0
not_applicable,Features,615,12,3,53.5,0.0,0.0
not_applicable,ProductReview,780,75,15,177.8,1.0,15.0
not_applicable,Review-variations,476,6,0,21.0,0.0,0.0
not_applicable,Trust,114,2,0,9.0,0.0,0.0
